name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Nitrobacteraceae,6.9216500333361335,7.163964239356734,7.64158962448616
Rhizobiaceae,5.691786092240973,5.736653893986661,6.01178560779231
Phyllobacteriaceae,5.531300108576229,5.618496323152792,5.898379105029557
Methylobacteriaceae,5.228650113613339,5.218776466135515,5.548897646727281
Xanthobacteraceae,4.640758679239856,4.692994386792632,5.075652373992096
Hyphomicrobiaceae,4.637178901141846,4.633322929261078,5.036503144080337
Boseaceae,4.096679909659589,4.141693024386017,4.484588019449468
Devosiaceae,3.8339393130831416,3.864526731734316,4.102659879129257
Stappiaceae,3.717920179035984,3.7148320817827796,3.9702692020314783
Aurantimonadaceae,3.627120854109207,3.640429412345544,3.893702685208337
Methylocystaceae,3.462153312032933,3.493900590109404,3.779179677026949
Phreatobacteraceae,3.1093877671854173,3.155276143714199,3.4427074404508016
Beijerinckiaceae,3.076016335439898,3.057659157833438,3.2755386374497983
Amorphaceae,2.881470388096477,2.7580509780274363,3.079249743921412
Parvibaculaceae,2.808846999833595,2.763024566145906,2.9945455532092993
Blastochloridaceae,2.562656257759835,2.556029001310989,2.9036208050792873
Pleomorphomonadaceae,2.4587045651309496,2.441387479065685,2.712935543475437
Chelatococcaceae,2.4409499931264453,2.4696415195616175,2.733020442800241
Ahrensiaceae,2.3176659613384722,2.3287770986412193,2.586484486044733
Brucellaceae,2.163515281595645,2.2034862948183727,2.487826711558885
Salinarimonadaceae,2.14622722063271,2.1203641535474267,2.416048935407694
Alsobacteraceae,2.1119731071982497,2.153420222097641,2.4063143452657587
Ancalomicrobiaceae,1.9596875197143477,1.9285638529235913,2.2201615369391425
Methylopilaceae,1.9182614780907001,1.917069473506114,2.188602878809888
Terrirubraceae,1.7868857233976776,1.8271637385580903,2.5323141113956154
Kaistiaceae,1.773008657700162,1.7933984731107897,2.1433718791234604
Lichenihabitantaceae,1.2937042687810243,1.2663614768838236,1.5653694653901573
Rhodoligotrophaceae,1.2922928359446086,1.300401523077461,1.479294856711582
Afifellaceae,1.0737291767222596,0.9647321774388098,1.3422259143336797
Cohaesibacteraceae,0.5849206659062163,0.6218725443269044,0.792866627508929
Bartonellaceae,0.21048766834711752,0.2295137849917682,0.3120909026592477
Salaquimonadaceae,-0.1402525383213073,0.036194474821358735,0.21352633597764856
Coralliovaceae,-0.41033884704793044,-0.5449790304538034,-0.3846729147346175
Sphingomonadaceae,5.7412881653879655,5.818165948502697,6.197924135724984
Erythrobacteraceae,4.168837484842858,4.207148949914302,4.5761426927203255
Sphingosinicellaceae,3.0353327588133077,3.0752858016748545,3.3975384720901776
Zymomonadaceae,-2.0512753942933406,-1.7603155733332025,-1.944630742668967
Paracoccaceae,5.090729494374758,5.068860184128229,5.284208000941205
Roseobacteraceae,4.901108982870256,4.858690368703439,5.072998952300222
Azospirillaceae,4.675485406930682,4.688573792287435,4.898935344982168
Rhodospirillaceae,3.526036376460221,3.5189645587689244,3.7247744085458256
Dongiaceae,3.2095477280347575,3.490910157259301,3.6306650302243546
Thalassobaculaceae,3.065040324511586,3.028841420434176,3.2490920640094925
Stellaceae,2.620056954322812,2.5726708377197034,2.741006429977536
Thalassospiraceae,1.7598216534298017,1.7134239016413573,1.9344414736770204
Novispirillaceae,1.6224903830257769,1.609931534698742,1.783137770978119
Magnetospirillaceae,0.9160573667965665,0.9128473421695253,1.0424434353982819
Magnetovibrionaceae,0.21048766834711752,0.06883140398220064,0.3370476345441338
Kiloniellaceae,-0.0022930949435731934,-0.06863958597040028,0.12615270613282245
Terasakiellaceae,-0.9660861524438574,-1.0815571443040315,-1.0078615004205158
Roseomonadaceae,4.008968628302822,3.981863070352705,4.239660300690585
Acetobacteraceae,3.874903646222759,3.8561437589692833,4.0667209103308695
Acidocellaceae,2.2640770676470225,2.222831336551619,2.4395487113133654
Elioraeaceae,1.778235150429152,1.670902796936597,1.9258515855041514
Caulobacteraceae,4.775443310042794,4.7926812628097135,5.112851619041372
Geminicoccaceae,2.9215887623928487,2.909571660975433,3.081968368159789
Maricaulaceae,2.496265639281844,2.4149504031088695,2.7343024942574856
Robiginitomaculaceae,0.1679280541094809,-0.0024576794261486935,0.29754519170976435
Minwuiaceae,2.190914255767786,2.157405425206335,2.3996223729385746
Hyphomonadaceae,1.9567847600584927,1.9732640318102728,2.206137574638062
Parvularculaceae,1.3351466631398412,1.304409544469645,1.5570878445670087
Temperatibacteraceae,0.26323823351854897,0.15660701447911096,0.5199558730778692
Kordiimonadaceae,-0.21390544744380569,-0.42531452765349365,-0.12454079571085186
Emcibacteraceae,0.49190012676329037,0.44323811363781046,0.61766253891127
Rickettsiaceae,-0.35749636607254737,-0.528171912278665,-0.19393278873342
Anaplasmataceae,-0.41033884704793044,-0.432861733231916,-0.19393278873342
Candidatus Midichloriaceae,-2.5621009913926662,-2.6076133956251697,-2.1338727351235875
Candidatus Deianiraeaceae,-5.27015025916204,-3.929369052274185,-3.520166971243491
Sneathiellaceae,-0.7815148781934457,-1.1885292622199206,-0.5757281499717738
Holosporaceae,-1.1270165168969921,-1.5090011514015027,-1.3416346747181527
Candidatus Paracaedibacteraceae,-2.1791087603486803,-1.3266795983112518,-2.2674041217957295
Candidatus Nucleicultricaceae,-4.171538637160153,-3.11843897494672,-3.3660163152257527
Candidatus Pelagibacteraceae,-1.2447995505692484,-1.5090011514015027,-2.093050742269999
Candidatus Puniceispirillaceae,-1.6325650731193657,-2.224621164581184,-1.7565785170773571
Burkholderiaceae,6.252972030795032,6.179525438096065,6.462547405084985
Comamonadaceae,5.873722990816364,5.845943911552675,6.18935128749253
Oxalobacteraceae,5.027268485702748,5.008407468414783,5.300359993920709
Alcaligenaceae,4.908578814470747,4.849764987202684,5.128814261028416
Sphaerotilaceae,4.807079494435696,4.7792703537543275,5.222513522391361
Sutterellaceae,1.169199113536002,1.1300561575788355,1.3331643636678352
Zoogloeaceae,4.249069896480844,4.159269257885639,4.41153674771252
Rhodocyclaceae,3.716045061291974,3.586519783077063,3.8444854229179692
Azonexaceae,2.8954966664202155,2.760229967215758,3.023504870982464
Fluviibacteraceae,-1.1758066802727734,-1.345371730973998,-0.905207347678824
Usitatibacteraceae,3.2428330876814857,3.2268073354014692,3.8355804557728996
Sterolibacteriaceae,2.9388850068857133,2.8382614689014214,3.0963441772768667
Thiobacillaceae,2.6650782810132765,2.5502917509230403,2.8257615781317176
Gallionellaceae,1.9938788844382693,1.8482830217224968,2.1560157257187553
Sulfuricellaceae,1.911440686210781,1.7353257845405516,2.0289089476335844
Nitrosomonadaceae,1.7154905594027374,1.523812775905462,1.858961872142946
Methylophilaceae,0.8234185131409314,0.6139254826554246,0.9106496629172965
Chromobacteriaceae,3.3054995020149094,3.320733775678195,3.5678241915141053
Chitinibacteraceae,2.9877529345633356,2.9333886110387537,3.2317137544876666
Neisseriaceae,2.7119236162611915,2.6749132186885167,2.8703531324003824
Aquaspirillaceae,1.4094479279391239,1.3436302575716443,1.636970616134806
Casimicrobiaceae,0.8910560646432407,0.9187470642851115,1.1908634402766751
Ferrovaceae,-0.9660861524438574,-1.2047897828272907,-0.905207347678824
Pseudomonadaceae,5.99236222735313,5.969469963710026,6.137025510297765
Marinobacteraceae,2.561862921740754,2.482859390641502,2.6265189443833497
Ketobacteraceae,-1.209708231373742,-1.1885292622199206,-1.063431350803126
Pseudohongiellaceae,-1.3989502274203165,-1.4655160404073901,-1.2010527265714452
Lysobacteraceae,5.545659163707437,5.568721889809385,5.9798533091929675
Rhodanobacteraceae,4.194133413359138,4.171778001565531,4.474746190862289
Enterobacteriaceae,4.029115322100536,3.9842431520326143,4.1506499904331715
Yersiniaceae,3.0133428672536233,2.966819340589426,3.192789062969437
Erwiniaceae,2.9249064320095512,2.878013002837592,3.080609979905035
Pectobacteriaceae,2.3136050420542182,2.2731662154198418,2.4138448348910586
Bruguierivoracaceae,1.2311384128803502,1.1735412694510297,1.4119058348849325
Hafniaceae,1.1803191645624145,1.1411059937479777,1.2505174879679501
Morganellaceae,1.1383775335454043,1.1043312663817626,1.1650457572899453
Gallaecimonadaceae,0.99514995547731,1.0661523557041013,1.2334230546330023
Budviciaceae,-0.36487647331570366,-0.3884099709904629,-0.11342957034751143
Halomonadaceae,4.363166646072947,4.334929642240354,4.503330644058127
Oceanospirillaceae,2.0316710836507004,2.012116875684617,2.128807100837917
Alcanivoracaceae,1.9733617162187371,1.9434524654067862,2.096603960362488
Hahellaceae,1.0506170368876029,0.9703344329770177,1.0407027909235276
Saccharospirillaceae,0.17226645568925747,0.15239648196049607,0.29754519170976435
Endozoicomonadaceae,0.05285872485491646,0.054974369384781195,0.05871142564062658
Balneatrichaceae,-0.5252191221026383,-0.652224559848015,-0.4756446922502131
Litorivicinaceae,-0.9394179057173149,-0.9212144963759267,-0.6771976091998255
Oleiphilaceae,-1.5089511202121644,-1.2903119548017523,-1.623047128024263
Pleioneaceae,-2.3257122273635225,-2.543074878654265,-2.6728692060943717
Zooshikellaceae,-3.66071314672746,-3.369753371481598,-3.1147019186908746
Ectothiorhodospiraceae,3.634750318909324,3.546253340982854,3.752231254775643
Chromatiaceae,3.5248251726787223,3.450730613811577,3.592024465056358
Sedimenticolaceae,1.7228638646896937,1.6069802290670652,1.816569339343762
Thioalkalibacteraceae,1.5017842978235372,1.6158081431819713,1.7562453941016316
Wenzhouxiangellaceae,1.349921948702149,1.2773808721182556,1.5497847343896516
Halothiobacillaceae,0.5439792756486006,0.45577746285123627,0.6644243046978058
Granulosicoccaceae,0.018115776583499776,0.036194474821358735,0.11741902620220668
Methylococcaceae,3.671786655225605,3.59343647166666,3.7112404574335884
Methylothermaceae,1.197547468495608,1.1284675948962213,1.1757574128684813
Aeromonadaceae,3.4437593694966684,3.4164796044691914,3.5687979691523006
Succinivibrionaceae,-2.4975624744217613,-3.929369052274185,-3.0093414141441586
Microbulbiferaceae,2.4489785821894388,2.3755364345856482,2.5692555954666885
Cellvibrionaceae,1.5120407979790376,1.4608433301183894,1.6522090062252253
Halieaceae,1.4354878369224526,1.4597024286838995,1.5550066783653496
Spongiibacteraceae,0.3095785705982666,0.17739778406173048,0.43427658659684243
Porticoccaceae,-2.5621009913926662,-3.11843897494672,-3.1147019186908746
Shewanellaceae,2.0582860943902204,1.9213953634501175,2.1140270505349346
Alteromonadaceae,1.4119573395414011,1.472181320042931,1.5602014952370564
Pseudoalteromonadaceae,0.9384387689471607,0.8560369361045534,1.0016214409504904
Ferrimonadaceae,0.5617312210545277,0.5365388192539933,0.7634194262493357
Colwelliaceae,0.5528946392800581,0.5365388192539933,0.4532644987814418
Idiomarinaceae,0.0028483045304115106,0.017055134702242625,0.09524516880622462
Psychromonadaceae,-1.5089511202121644,-1.732144697160157,-1.440725575396975
Moritellaceae,-2.012054682678521,-1.7603155733332025,-1.4201062886194094
Acidiferrobacteraceae,2.841176744425313,2.7108332758780587,2.8689543351381457
Vibrionaceae,2.6625697686792167,2.6163394893264065,2.7119533859242253
Nevskiaceae,2.1069824542978046,1.9928791348149386,2.305341206982032
Algiphilaceae,0.3538662506359063,0.39806914541565486,0.5228841328483828
Moraxellaceae,1.8486749907102538,1.8184300585962698,1.8734604091997935
Thiohalobacteraceae,1.6050808291480945,1.561632409134312,1.7604952942473484
Immundisolibacteraceae,1.3418897770156373,1.3030753214582886,1.4588628179175698
Piscirickettsiaceae,0.6131711321122537,0.5191470765925373,0.5345121708096986
Thiotrichaceae,0.3682034137309241,0.41443612282628334,0.3985004135479289
Francisellaceae,-1.8361640224183302,-1.5779940213011525,-1.701008667466948
Fastidiosibacteraceae,-2.0512753942933406,-2.6076133956251697,-3.232484940458371
Steroidobacteraceae,1.262183034516413,1.733591178729848,1.9687705889352476
Legionellaceae,0.7337358104141345,0.4463877225307865,0.7354455742721451
Coxiellaceae,0.09582476053320814,-0.03754899906148627,-0.013609235590162314
Salinisphaeraceae,0.7959568332623929,0.8024335368499468,1.0248991257781535
Pasteurellaceae,0.5963168006046174,0.5869696727395624,0.7354455742721451
Thiohalomonadaceae,0.5469599037778542,0.5564541288982728,0.7042305549991789
Cardiobacteriaceae,0.1979088861929999,0.18966787660335918,0.528715053142176
Ignatzschineriaceae,-1.6325650731193657,-1.4655160404073901,-1.5052640951456573
Candidatus Pseudothioglobaceae,-1.9379467132720514,-2.0198267603526787,-1.6483649353675274
