name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Bradyrhizobium,7.771245866796164,8.110361929675436,8.523415245151655
Rhodopseudomonas,4.882934536430596,5.0851902924982735,5.4704101566387235
Tardiphaga,3.905057398004075,4.148200561302718,4.5229036421750735
Afipia,3.547529211821054,3.788164864330025,4.265226471081887
Nitrobacter,3.2698974753593517,3.4483560968756017,3.7828212116590865
Variibacter,3.069038968959902,3.291297593042794,3.6757672155331655
Rhizobium,5.724635277196147,5.8733482173314275,6.150991232124266
Agrobacterium,4.061678371646174,4.175753200221366,4.409871974445894
Neorhizobium,3.5921850768333914,3.720740065219242,3.9292554667503956
Pararhizobium,2.7237122198743284,2.8640476967449047,3.1047876692374468
Pseudorhizobium,1.9346710326966803,1.982848285944335,2.288342273174637
Allorhizobium,1.6202242531025233,1.764542153887688,1.8828771658206203
Sinorhizobium,5.113705821520554,5.261374625436994,5.289114613135242
Ensifer,3.9987380282630425,4.164385318704036,4.398235479507201
Shinella,4.01545000750191,4.157551023127401,4.362680315075648
Hoeflea,2.975998937757269,3.0950176841244383,3.278740976254442
Georhizobium,2.0286176200065427,2.1252304803280726,2.4288253140755516
Peteryoungia,1.6964247137727775,1.6359773429958315,1.9227937731375324
Aliirhizobium,1.6964247137727775,1.7234967207569036,1.8737861941400298
Ciceribacter,1.6202242531025233,1.8468508011385822,2.0775653778515406
Liberibacter,-0.9535616506305249,-0.9789823964224813,-1.1639102331770517
Lentilitoribacter,-1.1671357417710753,-2.211125976524647,-0.5448710467488496
Mesorhizobium,6.281780313181796,6.4752551418911395,6.685023445586552
Nitratireductor,3.7601178961121486,3.882766075621764,4.092840766920027
Aminobacter,3.609182653195083,3.753554344186223,4.0261322750129365
Aquibium,3.4163729003034082,3.5500263873830207,3.7455883691097633
Phyllobacterium,3.1585724153232593,3.2062433191600612,3.49547749154785
Chelativorans,2.3336914346576565,2.552268073040718,2.712238786716329
Terribium,2.024711365047107,2.1510621748939314,2.5391538094835036
