name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Nitrobacteraceae,197166,262926,422319
Rhizobiaceae,57638,63090,82761
Phyllobacteriaceae,49092,56059,73888
Methylobacteriaceae,36272,37588,52095
Xanthobacteraceae,20149,22218,32454
Hyphomicrobiaceae,20077,20931,31208
Boseaceae,11694,12802,17971
Devosiaceae,8992,9703,12266
Stappiaceae,8007,8354,10745
Aurantimonadaceae,7312,7755,9953
Methylocystaceae,6200,6698,8876
Phreatobacteraceae,4357,4774,6340
Beijerinckiaceae,4214,4330,5364
Amorphaceae,3469,3209,4408
Parvibaculaceae,3226,3225,4050
Blastochloridaceae,2522,2622,3698
Pleomorphomonadaceae,2273,2338,3056
Chelatococcaceae,2233,2405,3118
Ahrensiaceae,1974,2089,2693
Brucellaceae,1692,1843,2440
Salinarimonadaceae,1663,1696,2271
Alsobacteraceae,1607,1753,2249
Ancalomicrobiaceae,1380,1400,1867
Methylopilaceae,1324,1384,1809
Terrirubraceae,1161,1265,2551
Kaistiaceae,1145,1223,1729
Lichenihabitantaceae,709,722,970
Rhodoligotrophaceae,708,747,890
Afifellaceae,569,534,776
Cohaesibacteraceae,349,379,448
Bartonellaceae,240,256,277
Salaquimonadaceae,169,211,251
Coralliovaceae,129,118,138
Sphingomonadaceae,60563,68448,99693
Erythrobacteraceae,12569,13668,19694
Sphingosinicellaceae,4046,4407,6060
Zymomonadaceae,25,35,29
Paracoccaceae,31599,32355,39980
Roseobacteraceae,26141,26222,32368
Azospirillaceae,20861,22120,27197
Rhodospirillaceae,6609,6868,8406
Dongiaceae,4816,6678,7651
Thalassobaculaceae,4168,4207,5224
Stellaceae,2671,2666,3143
Thalassospiraceae,1130,1129,1403
Novispirillaceae,985,1018,1206
Magnetospirillaceae,486,507,575
Magnetovibrionaceae,240,218,284
Kiloniellaceae,194,190,230
Terasakiellaceae,74,69,74
Roseomonadaceae,10712,10911,14067
Acetobacteraceae,9368,9622,11833
Acidocellaceae,1871,1879,2325
Elioraeaceae,1151,1082,1391
Caulobacteraceae,23054,24547,33684
Geminicoccaceae,3611,3734,4420
Maricaulaceae,2360,2277,3122
Robiginitomaculaceae,230,203,273
Minwuiaceae,1739,1760,2234
Hyphomonadaceae,1376,1464,1841
Parvularculaceae,739,750,962
Temperatibacteraceae,253,238,341
