name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Bradyrhizobium,159996,212649,338354
Rhodopseudomonas,8907,10324,15976
Tardiphaga,3350,4045,6194
Afipia,2343,2822,4787
Nitrobacter,1775,2009,2955
Variibacter,1452,1717,2655
Rhizobium,20667,22706,31553
Agrobacterium,3918,4158,5532
Neorhizobium,2450,2638,3421
Pararhizobium,1028,1120,1500
Pseudorhizobium,467,464,663
Allorhizobium,341,373,442
Sinorhizobium,11219,12313,13327
Ensifer,3679,4111,5468
Shinella,3741,4083,5277
Hoeflea,1323,1411,1785
Georhizobium,513,535,763
Peteryoungia,368,328,460
Aliirhizobium,368,358,438
Ciceribacter,341,405,537
Liberibacter,26,24,21
Lentilitoribacter,21,7,39
Mesorhizobium,36078,41452,53823
Nitratireductor,2898,3102,4029
Aminobacter,2492,2726,3769
Aquibium,2055,2224,2847
Phyllobacterium,1588,1577,2217
Chelativorans,696,820,1013
Terribium,511,549,852
Methylobacterium,21944,22549,29143
Microvirga,8927,9336,15320
Methylorubrum,3406,3542,4545
Pseudolabrys,6206,7175,11939
Ancylobacter,4873,5496,7461
Xanthobacter,3000,3008,4150
Labrys,1797,2048,2539
Starkeya,1759,1743,2366
Azorhizobium,848,895,1344
Aquabacter,796,865,1217
Rhodoplanes,8016,10134,16696
Hyphomicrobium,5851,5681,7982
Methyloceanibacter,2670,2190,2649
Methyloligella,1692,1273,1609
Rhodomicrobium,1132,1036,1409
Filomicrobium,386,313,467
Bosea,11694,12802,17971
Enhydrobacter,3974,5872,10234
Pseudorhodoplanes,2447,2875,4871
Nordella,2437,3124,3642
Terrihabitans,517,608,941
Candidatus Endowatersipora,4,5,12
Candidatus Hodgkinia,2,9,6
Devosia,6162,6705,8514
Pelagibacterium,1440,1419,1805
Paradevosia,981,1114,1356
Mariluticola,105,135,140
Maritalea,56,60,82
Stappia,2395,2483,3295
Breoghania,1766,1801,2363
Roseibium,1683,1823,2257
Pannonibacter,673,733,881
Labrenzia,467,550,652
Pseudovibrio,150,140,184
Aureimonas,4046,4263,5345
Martelella,1646,1784,2324
Aurantimonas,808,867,1106
Jiella,689,725,1004
Methylocystis,4303,4604,6160
Methylosinus,1767,1939,2455
Phreatobacter,4357,4774,6340
Methylovirgula,1522,1557,2091
Methylocapsa,1164,1164,1345
Methylocella,1059,1128,1449
Beijerinckia,381,395,382
Acuticoccus,3469,3209,4408
Kaustia,1481,1426,1703
Parvibaculum,446,497,714
Anderseniella,376,331,437
Pyruvatibacter,372,407,511
Tepidicaulis,360,382,413
Candidatus Phaeomarinobacter,175,149,225
Blastochloris,2522,2622,3698
Pleomorphomonas,1521,1509,2099
Hartmannibacter,748,823,954
Chelatococcus,2233,2405,3118
Roseitalea,828,951,1206
Oceaniradius,483,473,631
Oricola,457,475,604
Ahrensia,119,122,158
Brucella,1321,1430,1863
Ochrobactrum,79,66,98
Pseudochrobactrum,78,91,122
Salinarimonas,1663,1696,2271
Alsobacter,1607,1753,2249
Methyloraptor,1380,1400,1867
Chenggangzhangella,1324,1384,1809
